,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
365,5,0.0,1.0,1.0,37.537526,126.968223,1.0,0.0,0.0,59
368,3,1.0,1.0,3.0,37.516281,126.922218,1.0,0.0,0.0,62
369,1,1.0,2.0,2.0,37.475264,126.953834,0.0,1.0,0.0,46
370,5,3.0,2.0,3.0,37.533439,126.999142,1.0,0.0,0.0,124
371,12,7.0,4.0,3.0,37.53426,126.997432,1.0,0.0,0.0,260
372,7,4.0,2.0,3.0,37.533539,126.998905,1.0,0.0,0.0,150
373,2,1.0,0.0,2.0,37.511635,127.056207,0.0,1.0,0.0,36
374,2,1.0,0.0,1.0,37.574859,126.990466,0.0,1.0,0.0,53
375,2,1.0,0.0,1.0,37.576192,126.990023,0.0,1.0,0.0,53
376,3,1.0,0.0,1.0,37.574613,126.990403,0.0,1.0,0.0,53
377,4,1.0,0.0,1.0,37.57542,126.989805,0.0,1.0,0.0,70
380,2,1.0,1.0,1.0,37.533937,126.992481,1.0,0.0,0.0,73
383,2,1.0,0.0,2.0,37.614116,126.972745,0.0,1.0,0.0,71
384,3,1.0,1.0,1.0,37.565396,127.027872,0.0,1.0,0.0,58
387,3,1.0,1.0,1.0,37.511569,127.036062,0.0,0.0,1.0,25
388,3,1.0,0.0,1.0,37.58041,126.986992,0.0,1.0,0.0,87
389,2,1.0,1.0,1.0,37.534101,127.000242,1.0,0.0,0.0,70
390,2,1.0,1.0,1.0,37.533294,126.999314,1.0,0.0,0.0,72
391,2,1.0,1.0,3.0,37.511384,127.05367,1.0,0.0,0.0,57
395,2,1.0,1.0,1.0,37.527363,126.86476,0.0,1.0,0.0,45
396,2,1.0,1.0,1.0,37.537971,126.993906,1.0,0.0,0.0,81
397,3,1.0,1.0,1.0,37.535444,126.992778,1.0,0.0,0.0,192
398,6,2.0,1.0,2.0,37.526014,126.996527,1.0,0.0,0.0,49
399,2,1.0,1.0,1.0,37.572372,126.99153,0.0,1.0,0.0,43
400,2,1.0,0.0,1.0,37.534717,127.007118,0.0,1.0,0.0,52
401,2,1.0,1.0,1.0,37.545461,126.97826,0.0,1.0,0.0,39
402,5,1.0,1.0,1.0,37.557371,126.925452,1.0,0.0,0.0,80
403,2,1.0,2.0,1.0,37.52609,127.031065,0.0,1.0,0.0,53
404,2,1.0,2.0,1.0,37.526084,127.031665,0.0,1.0,0.0,74
405,2,1.0,1.0,3.0,37.511221,127.056442,1.0,0.0,0.0,57
406,1,1.0,1.0,1.0,37.574294,126.991514,0.0,1.0,0.0,31
407,1,1.0,1.0,1.0,37.545307,126.977999,0.0,1.0,0.0,31
409,2,1.0,1.0,1.0,37.515014,127.058328,1.0,0.0,0.0,62
410,4,1.0,1.0,1.0,37.562313,126.92463,0.0,0.0,1.0,16
